match_id,date,format,pitch_type,stadium,difficulty,innings_number,player_name,opponent_name,runs,overs,wickets,is_chasing,result,fifties,hundreds,double_hundreds,triple_hundreds,quadruple_hundreds,quintuple_hundreds,ducks
9,2024-12-13,Test,Green,9,Insane,1,Sid,Sara,422,30.0,1,False,Loss,0,0,0,0,1,0,0
9,2024-12-13,Test,Green,9,Insane,2,Sara,Sid,24,60.0,2,True,Win,0,0,0,0,0,0,0
10,2024-05-16,ODI,Bouncy,10,Insane,1,Anya,Karthik,22,30.0,2,False,Loss,0,0,0,0,0,0,0
10,2024-05-16,ODI,Bouncy,10,Insane,2,Karthik,Anya,52,50.0,2,True,Win,1,0,0,0,0,0,0
11,2024-02-21,T20,Dry,11,Medium,1,Rohan,Sara,148,20.0,1,False,Win,0,1,0,0,0,0,0
11,2024-02-21,T20,Dry,11,Medium,2,Sara,Rohan,54,5.0,2,True,Loss,1,0,0,0,0,0,0
12,2024-12-08,Test,Bouncy,12,Hard,1,Sid,Nikita,18,30.0,3,False,Win,0,0,0,0,0,0,0
12,2024-12-08,Test,Bouncy,12,Hard,2,Nikita,Sid,192,50.0,3,True,Loss,0,1,0,0,0,0,0
13,2024-10-06,ODI,Bouncy,13,Insane,1,Joe,Karthik,95,20.0,2,False,Win,1,0,0,0,0,0,0
13,2024-10-06,ODI,Bouncy,13,Insane,2,Karthik,Joe,14,50.0,3,True,Loss,0,0,0,0,0,0,0
14,2024-12-11,Test,Dry,1,Ultra Insane,1,Arjun,Zafi,120,50.0,3,False,Loss,0,1,0,0,0,0,0
14,2024-12-11,Test,Dry,1,Ultra Insane,2,Zafi,Arjun,125,60.0,2,True,Win,0,1,0,0,0,0,0
15,2024-05-30,Test,Dry,2,Hard,1,Sara,Sid,216,50.0,4,False,Win,0,0,1,0,0,0,0
15,2024-05-30,Test,Dry,2,Hard,2,Sid,Sara,193,60.0,3,True,Loss,0,1,0,0,0,0,0
16,2024-08-20,ODI,Green,3,Hard,1,Arjun,Ragz,72,40.0,7,False,Loss,1,0,0,0,0,0,0
16,2024-08-20,ODI,Green,3,Hard,2,Ragz,Arjun,67,50.0,0,True,Win,1,0,0,0,0,0,0
17,2024-04-08,Test,Dry,4,Ultra Insane,1,Rohan,Nikita,118,30.0,3,False,Win,0,1,0,0,0,0,0
17,2024-04-08,Test,Dry,4,Ultra Insane,2,Nikita,Rohan,143,30.0,3,True,Loss,0,1,0,0,0,0,0
18,2024-05-07,ODI,Bouncy,5,Hard,1,Vikram,Sid,131,20.0,1,False,Loss,0,1,0,0,0,0,0
18,2024-05-07,ODI,Bouncy,5,Hard,2,Sid,Vikram,74,30.0,5,True,Win,1,0,0,0,0,0,0
19,2024-10-10,Test,Normal,6,Medium,1,Ragz,Sara,90,50.0,1,False,Loss,1,0,0,0,0,0,0
19,2024-10-10,Test,Normal,6,Medium,2,Sara,Ragz,156,50.0,1,True,Win,0,1,0,0,0,0,0
20,2024-06-20,Test,Green,7,Medium,1,Nikita,Leo,114,60.0,4,False,Loss,0,1,0,0,0,0,0
20,2024-06-20,Test,Green,7,Medium,2,Leo,Nikita,52,50.0,3,True,Win,1,0,0,0,0,0,0
21,2024-06-09,T20,Green,8,Insane,1,Vikram,Joe,131,20.0,3,False,Loss,0,1,0,0,0,0,0
21,2024-06-09,T20,Green,8,Insane,2,Joe,Vikram,43,10.0,3,True,Win,0,0,0,0,0,0,0
22,2024-09-29,T20,Normal,9,Insane,1,Sara,Anya,222,20.0,3,False,Win,0,0,1,0,0,0,0
22,2024-09-29,T20,Normal,9,Insane,2,Anya,Sara,120,5.0,1,True,Loss,0,1,0,0,0,0,0
23,2024-11-08,Test,Dry,10,Ultra Insane,1,Ragz,Sid,81,60.0,4,False,Loss,1,0,0,0,0,0,0
23,2024-11-08,Test,Dry,10,Ultra Insane,2,Sid,Ragz,91,40.0,3,True,Win,1,0,0,0,0,0,0
24,2024-07-08,Test,Dry,11,Hard,1,Vikram,Zafi,167,30.0,1,False,Win,0,1,0,0,0,0,0
24,2024-07-08,Test,Dry,11,Hard,2,Zafi,Vikram,97,50.0,1,True,Loss,1,0,0,0,0,0,0
25,2024-09-20,T20,Dry,12,Hard,1,Ragz,Anya,113,5.0,1,False,Win,0,1,0,0,0,0,0
25,2024-09-20,T20,Dry,12,Hard,2,Anya,Ragz,134,15.0,4,True,Loss,0,1,0,0,0,0,0
26,2024-05-24,Test,Normal,13,Insane,1,Sid,Joe,454,60.0,0,False,Win,0,0,0,0,1,0,0
26,2024-05-24,Test,Normal,13,Insane,2,Joe,Sid,58,30.0,1,True,Loss,1,0,0,0,0,0,0
27,2024-05-06,Test,Dry,1,Insane,1,Karthik,Joe,55,30.0,2,False,Loss,1,0,0,0,0,0,0
27,2024-05-06,Test,Dry,1,Insane,2,Joe,Karthik,128,40.0,6,True,Win,0,1,0,0,0,0,0
28,2024-09-03,Test,Normal,2,Medium,1,Leo,Sid,60,50.0,1,False,Loss,1,0,0,0,0,0,0
28,2024-09-03,Test,Normal,2,Medium,2,Sid,Leo,208,40.0,0,True,Win,0,0,1,0,0,0,0
29,2024-02-16,Test,Bouncy,3,Hard,1,Sara,Sid,198,30.0,2,False,Win,0,1,0,0,0,0,0
29,2024-02-16,Test,Bouncy,3,Hard,2,Sid,Sara,219,40.0,2,True,Loss,0,0,1,0,0,0,0
30,2024-08-10,T20,Bouncy,4,Insane,1,Vikram,Rohan,65,10.0,2,False,Loss,1,0,0,0,0,0,0
30,2024-08-10,T20,Bouncy,4,Insane,2,Rohan,Vikram,81,20.0,7,True,Win,1,0,0,0,0,0,0
31,2024-06-27,ODI,Bouncy,5,Hard,1,Leo,Arjun,114,40.0,3,False,Loss,0,1,0,0,0,0,0
31,2024-06-27,ODI,Bouncy,5,Hard,2,Arjun,Leo,168,40.0,1,True,Win,0,1,0,0,0,0,0
32,2024-08-29,ODI,Dry,6,Ultra Insane,1,Vikram,Sid,198,40.0,2,False,Win,0,1,0,0,0,0,0
32,2024-08-29,ODI,Dry,6,Ultra Insane,2,Sid,Vikram,114,40.0,1,True,Loss,0,1,0,0,0,0,0
33,2024-04-23,Test,Bouncy,7,Hard,1,Zafi,Anya,60,30.0,3,False,Win,1,0,0,0,0,0,0
33,2024-04-23,Test,Bouncy,7,Hard,2,Anya,Zafi,167,50.0,1,True,Loss,0,1,0,0,0,0,0
34,2024-04-05,Test,Bouncy,8,Hard,1,Joe,Zafi,341,60.0,3,False,Win,0,0,0,1,0,0,0
34,2024-04-05,Test,Bouncy,8,Hard,2,Zafi,Joe,127,40.0,5,True,Loss,0,1,0,0,0,0,0
35,2024-08-20,T20,Normal,9,Hard,1,Zafi,Joe,188,15.0,5,False,Loss,0,1,0,0,0,0,0
35,2024-08-20,T20,Normal,9,Hard,2,Joe,Zafi,144,5.0,4,True,Win,0,1,0,0,0,0,0
36,2024-06-29,ODI,Normal,10,Hard,1,Arjun,Sara,119,30.0,6,False,Loss,0,1,0,0,0,0,0
36,2024-06-29,ODI,Normal,10,Hard,2,Sara,Arjun,60,20.0,2,True,Win,1,0,0,0,0,0,0
37,2024-06-13,ODI,Bouncy,11,Hard,1,Leo,Rohan,199,30.0,4,False,Win,0,1,0,0,0,0,0
37,2024-06-13,ODI,Bouncy,11,Hard,2,Rohan,Leo,435,20.0,2,True,Loss,0,0,0,0,1,0,0
38,2024-01-19,T20,Green,12,Hard,1,Sid,Nikita,10,15.0,3,False,Loss,0,0,0,0,0,0,0
38,2024-01-19,T20,Green,12,Hard,2,Nikita,Sid,37,15.0,5,True,Win,0,0,0,0,0,0,0
39,2024-11-07,Test,Normal,13,Medium,1,Sara,Nikita,407,30.0,0,False,Win,0,0,0,0,1,0,0
39,2024-11-07,Test,Normal,13,Medium,2,Nikita,Sara,65,50.0,1,True,Loss,1,0,0,0,0,0,0
40,2024-02-16,ODI,Green,1,Ultra Insane,1,Sid,Joe,110,20.0,6,False,Loss,0,1,0,0,0,0,0
40,2024-02-16,ODI,Green,1,Ultra Insane,2,Joe,Sid,31,30.0,3,True,Win,0,0,0,0,0,0,0
41,2024-03-30,T20,Normal,2,Medium,1,Nikita,Anya,148,20.0,0,False,Win,0,1,0,0,0,0,0
41,2024-03-30,T20,Normal,2,Medium,2,Anya,Nikita,96,5.0,0,True,Loss,1,0,0,0,0,0,0
42,2024-05-24,Test,Bouncy,3,Hard,1,Karthik,Vikram,240,30.0,1,False,Win,0,0,1,0,0,0,0
42,2024-05-24,Test,Bouncy,3,Hard,2,Vikram,Karthik,83,40.0,0,True,Loss,1,0,0,0,0,0,0
43,2024-03-22,ODI,Bouncy,4,Ultra Insane,1,Ragz,Arjun,154,40.0,3,False,Win,0,1,0,0,0,0,0
43,2024-03-22,ODI,Bouncy,4,Ultra Insane,2,Arjun,Ragz,437,40.0,6,True,Loss,0,0,0,0,1,0,0
44,2024-11-10,ODI,Bouncy,5,Medium,1,Sid,Vikram,193,40.0,0,False,Loss,0,1,0,0,0,0,0
44,2024-11-10,ODI,Bouncy,5,Medium,2,Vikram,Sid,191,40.0,0,True,Win,0,1,0,0,0,0,0
45,2024-11-06,Test,Normal,6,Medium,1,Zafi,Karthik,92,40.0,5,False,Loss,1,0,0,0,0,0,0
45,2024-11-06,Test,Normal,6,Medium,2,Karthik,Zafi,212,30.0,1,True,Win,0,0,1,0,0,0,0
46,2024-02-20,Test,Green,7,Ultra Insane,1,Sid,Karthik,481,30.0,3,False,Loss,0,0,0,0,1,0,0
46,2024-02-20,Test,Green,7,Ultra Insane,2,Karthik,Sid,14,40.0,3,True,Win,0,0,0,0,0,0,0
47,2024-02-23,ODI,Normal,8,Hard,1,Nikita,Joe,1,50.0,1,False,Loss,0,0,0,0,0,0,0
47,2024-02-23,ODI,Normal,8,Hard,2,Joe,Nikita,129,40.0,7,True,Win,0,1,0,0,0,0,0
48,2024-12-03,ODI,Dry,9,Ultra Insane,1,Arjun,Nikita,50,30.0,5,False,Loss,1,0,0,0,0,0,0
48,2024-12-03,ODI,Dry,9,Ultra Insane,2,Nikita,Arjun,40,20.0,4,True,Win,0,0,0,0,0,0,0
49,2024-03-09,T20,Green,10,Hard,1,Karthik,Arjun,2,10.0,1,False,Loss,0,0,0,0,0,0,0
49,2024-03-09,T20,Green,10,Hard,2,Arjun,Karthik,192,15.0,0,True,Win,0,1,0,0,0,0,0
50,2024-09-05,Test,Normal,11,Medium,1,Leo,Anya,65,50.0,1,False,Win,1,0,0,0,0,0,0
50,2024-09-05,Test,Normal,11,Medium,2,Anya,Leo,81,50.0,3,True,Loss,1,0,0,0,0,0,0
51,2024-02-20,Test,Normal,12,Ultra Insane,1,Vikram,Leo,58,50.0,1,False,Win,1,0,0,0,0,0,0
51,2024-02-20,Test,Normal,12,Ultra Insane,2,Leo,Vikram,246,40.0,2,True,Loss,0,0,1,0,0,0,0
52,2024-02-03,Test,Normal,13,Medium,1,Ragz,Zafi,162,30.0,0,False,Win,0,1,0,0,0,0,0
52,2024-02-03,Test,Normal,13,Medium,2,Zafi,Ragz,204,30.0,2,True,Loss,0,0,1,0,0,0,0
53,2024-04-16,T20,Normal,1,Hard,1,Nikita,Zafi,36,15.0,3,False,Win,0,0,0,0,0,0,0
53,2024-04-16,T20,Normal,1,Hard,2,Zafi,Nikita,125,10.0,2,True,Loss,0,1,0,0,0,0,0
54,2024-11-07,T20,Bouncy,2,Medium,1,Rohan,Zafi,59,15.0,2,False,Win,1,0,0,0,0,0,0
54,2024-11-07,T20,Bouncy,2,Medium,2,Zafi,Rohan,156,10.0,1,True,Loss,0,1,0,0,0,0,0
55,2024-07-10,ODI,Dry,3,Insane,1,Karthik,Sara,182,20.0,2,False,Loss,0,1,0,0,0,0,0
55,2024-07-10,ODI,Dry,3,Insane,2,Sara,Karthik,25,30.0,2,True,Win,0,0,0,0,0,0,0
56,2024-03-08,T20,Dry,4,Hard,1,Arjun,Nikita,93,10.0,1,False,Loss,1,0,0,0,0,0,0
56,2024-03-08,T20,Dry,4,Hard,2,Nikita,Arjun,42,10.0,3,True,Win,0,0,0,0,0,0,0
57,2024-04-10,Test,Dry,5,Ultra Insane,1,Anya,Zafi,135,40.0,2,False,Loss,0,1,0,0,0,0,0
57,2024-04-10,Test,Dry,5,Ultra Insane,2,Zafi,Anya,67,30.0,1,True,Win,1,0,0,0,0,0,0
58,2024-07-16,Test,Green,6,Medium,1,Zafi,Vikram,119,40.0,0,False,Loss,0,1,0,0,0,0,0
58,2024-07-16,Test,Green,6,Medium,2,Vikram,Zafi,240,40.0,1,True,Win,0,0,1,0,0,0,0
59,2024-05-16,Test,Dry,7,Hard,1,Anya,Zafi,34,50.0,1,False,Loss,0,0,0,0,0,0,0
59,2024-05-16,Test,Dry,7,Hard,2,Zafi,Anya,297,40.0,1,True,Win,0,0,1,0,0,0,0
60,2024-03-02,Test,Dry,8,Insane,1,Ragz,Sid,371,30.0,2,False,Loss,0,0,0,1,0,0,0
60,2024-03-02,Test,Dry,8,Insane,2,Sid,Ragz,81,40.0,2,True,Win,1,0,0,0,0,0,0
61,2024-04-22,T20,Dry,9,Medium,1,Sara,Vikram,55,20.0,1,False,Win,1,0,0,0,0,0,0
61,2024-04-22,T20,Dry,9,Medium,2,Vikram,Sara,171,15.0,1,True,Loss,0,1,0,0,0,0,0
62,2024-09-15,ODI,Normal,10,Hard,1,Arjun,Zafi,74,20.0,2,False,Win,1,0,0,0,0,0,0
62,2024-09-15,ODI,Normal,10,Hard,2,Zafi,Arjun,79,50.0,4,True,Loss,1,0,0,0,0,0,0
63,2024-02-07,Test,Bouncy,11,Insane,1,Arjun,Rohan,94,50.0,5,False,Loss,1,0,0,0,0,0,0
63,2024-02-07,Test,Bouncy,11,Insane,2,Rohan,Arjun,534,50.0,0,True,Win,0,0,0,0,0,1,0
64,2024-10-22,Test,Dry,12,Hard,1,Sara,Leo,224,60.0,2,False,Win,0,0,1,0,0,0,0
64,2024-10-22,Test,Dry,12,Hard,2,Leo,Sara,68,40.0,2,True,Loss,1,0,0,0,0,0,0
65,2024-03-18,ODI,Green,13,Insane,1,Joe,Zafi,53,30.0,6,False,Win,1,0,0,0,0,0,0
65,2024-03-18,ODI,Green,13,Insane,2,Zafi,Joe,84,40.0,3,True,Loss,1,0,0,0,0,0,0
66,2024-11-04,T20,Green,1,Insane,1,Joe,Leo,10,20.0,4,False,Win,0,0,0,0,0,0,0
66,2024-11-04,T20,Green,1,Insane,2,Leo,Joe,18,15.0,4,True,Loss,0,0,0,0,0,0,0
67,2024-04-06,ODI,Bouncy,2,Insane,1,Ragz,Sid,83,20.0,0,False,Win,1,0,0,0,0,0,0
67,2024-04-06,ODI,Bouncy,2,Insane,2,Sid,Ragz,32,30.0,3,True,Loss,0,0,0,0,0,0,0
68,2024-06-07,T20,Green,3,Medium,1,Zafi,Leo,5,15.0,0,False,Win,0,0,0,0,0,0,0
68,2024-06-07,T20,Green,3,Medium,2,Leo,Zafi,2,15.0,2,True,Loss,0,0,0,0,0,0,0
69,2024-04-24,T20,Bouncy,4,Medium,1,Anya,Rohan,110,15.0,3,False,Win,0,1,0,0,0,0,0
69,2024-04-24,T20,Bouncy,4,Medium,2,Rohan,Anya,66,10.0,1,True,Loss,1,0,0,0,0,0,0
70,2024-10-28,T20,Bouncy,5,Ultra Insane,1,Ragz,Joe,68,15.0,2,False,Win,1,0,0,0,0,0,0
70,2024-10-28,T20,Bouncy,5,Ultra Insane,2,Joe,Ragz,2,20.0,4,True,Loss,0,0,0,0,0,0,0
71,2024-05-06,ODI,Dry,6,Medium,1,Anya,Karthik,87,30.0,0,False,Loss,1,0,0,0,0,0,0
71,2024-05-06,ODI,Dry,6,Medium,2,Karthik,Anya,140,40.0,3,True,Win,0,1,0,0,0,0,0
72,2024-10-28,T20,Bouncy,7,Medium,1,Anya,Vikram,176,5.0,1,False,Loss,0,1,0,0,0,0,0
72,2024-10-28,T20,Bouncy,7,Medium,2,Vikram,Anya,120,5.0,1,True,Win,0,1,0,0,0,0,0
73,2024-11-08,ODI,Bouncy,8,Hard,1,Ragz,Leo,75,20.0,3,False,Loss,1,0,0,0,0,0,0
73,2024-11-08,ODI,Bouncy,8,Hard,2,Leo,Ragz,91,40.0,3,True,Win,1,0,0,0,0,0,0
74,2024-06-27,ODI,Normal,9,Hard,1,Leo,Anya,70,30.0,4,False,Win,1,0,0,0,0,0,0
74,2024-06-27,ODI,Normal,9,Hard,2,Anya,Leo,439,50.0,1,True,Loss,0,0,0,0,1,0,0
75,2024-12-02,ODI,Bouncy,10,Insane,1,Ragz,Zafi,29,50.0,2,False,Win,0,0,0,0,0,0,0
75,2024-12-02,ODI,Bouncy,10,Insane,2,Zafi,Ragz,86,40.0,1,True,Loss,1,0,0,0,0,0,0
76,2024-08-02,ODI,Normal,11,Ultra Insane,1,Karthik,Leo,218,40.0,1,False,Win,0,0,1,0,0,0,0
76,2024-08-02,ODI,Normal,11,Ultra Insane,2,Leo,Karthik,82,20.0,5,True,Loss,1,0,0,0,0,0,0
77,2024-04-22,ODI,Dry,12,Insane,1,Karthik,Leo,72,30.0,0,False,Win,1,0,0,0,0,0,0
77,2024-04-22,ODI,Dry,12,Insane,2,Leo,Karthik,131,50.0,5,True,Loss,0,1,0,0,0,0,0
78,2024-03-27,Test,Bouncy,13,Ultra Insane,1,Anya,Arjun,60,50.0,1,False,Win,1,0,0,0,0,0,0
78,2024-03-27,Test,Bouncy,13,Ultra Insane,2,Arjun,Anya,84,50.0,2,True,Loss,1,0,0,0,0,0,0
79,2024-11-23,Test,Dry,1,Insane,1,Sara,Vikram,235,40.0,9,False,Win,0,0,1,0,0,0,0
79,2024-11-23,Test,Dry,1,Insane,2,Vikram,Sara,35,40.0,2,True,Loss,0,0,0,0,0,0,0
80,2024-09-19,ODI,Dry,2,Medium,1,Zafi,Arjun,92,20.0,3,False,Win,1,0,0,0,0,0,0
80,2024-09-19,ODI,Dry,2,Medium,2,Arjun,Zafi,58,30.0,2,True,Loss,1,0,0,0,0,0,0
81,2024-01-20,Test,Dry,3,Medium,1,Zafi,Rohan,56,30.0,2,False,Win,1,0,0,0,0,0,0
81,2024-01-20,Test,Dry,3,Medium,2,Rohan,Zafi,139,40.0,1,True,Loss,0,1,0,0,0,0,0
82,2024-07-20,ODI,Dry,4,Insane,1,Nikita,Rohan,88,30.0,2,False,Win,1,0,0,0,0,0,0
82,2024-07-20,ODI,Dry,4,Insane,2,Rohan,Nikita,71,30.0,3,True,Loss,1,0,0,0,0,0,0
83,2024-10-04,T20,Normal,5,Ultra Insane,1,Rohan,Karthik,70,15.0,7,False,Loss,1,0,0,0,0,0,0
83,2024-10-04,T20,Normal,5,Ultra Insane,2,Karthik,Rohan,144,5.0,3,True,Win,0,1,0,0,0,0,0
84,2024-01-27,ODI,Normal,6,Ultra Insane,1,Joe,Vikram,53,20.0,5,False,Win,1,0,0,0,0,0,0
84,2024-01-27,ODI,Normal,6,Ultra Insane,2,Vikram,Joe,27,30.0,1,True,Loss,0,0,0,0,0,0,0
85,2024-11-05,T20,Bouncy,7,Insane,1,Nikita,Zafi,85,15.0,6,False,Loss,1,0,0,0,0,0,0
85,2024-11-05,T20,Bouncy,7,Insane,2,Zafi,Nikita,24,20.0,1,True,Win,0,0,0,0,0,0,0
86,2024-05-27,T20,Dry,8,Insane,1,Sara,Zafi,8,15.0,4,False,Win,0,0,0,0,0,0,0
86,2024-05-27,T20,Dry,8,Insane,2,Zafi,Sara,14,5.0,3,True,Loss,0,0,0,0,0,0,0
87,2024-01-25,T20,Dry,9,Insane,1,Sara,Nikita,57,15.0,4,False,Win,1,0,0,0,0,0,0
87,2024-01-25,T20,Dry,9,Insane,2,Nikita,Sara,37,20.0,6,True,Loss,0,0,0,0,0,0,0
88,2024-03-29,ODI,Green,10,Insane,1,Vikram,Ragz,9,50.0,1,False,Win,0,0,0,0,0,0,0
88,2024-03-29,ODI,Green,10,Insane,2,Ragz,Vikram,73,30.0,1,True,Loss,1,0,0,0,0,0,0
89,2024-01-07,Test,Green,11,Ultra Insane,1,Sara,Ragz,137,30.0,3,False,Win,0,1,0,0,0,0,0
89,2024-01-07,Test,Green,11,Ultra Insane,2,Ragz,Sara,52,50.0,2,True,Loss,1,0,0,0,0,0,0
90,2024-06-07,T20,Dry,12,Ultra Insane,1,Vikram,Joe,80,20.0,0,False,Loss,1,0,0,0,0,0,0
90,2024-06-07,T20,Dry,12,Ultra Insane,2,Joe,Vikram,155,5.0,5,True,Win,0,1,0,0,0,0,0
91,2024-07-28,ODI,Dry,13,Hard,1,Nikita,Rohan,253,20.0,1,False,Loss,0,0,1,0,0,0,0
91,2024-07-28,ODI,Dry,13,Hard,2,Rohan,Nikita,185,30.0,1,True,Win,0,1,0,0,0,0,0
92,2024-09-25,T20,Dry,1,Ultra Insane,1,Sid,Leo,24,5.0,1,False,Win,0,0,0,0,0,0,0
92,2024-09-25,T20,Dry,1,Ultra Insane,2,Leo,Sid,56,5.0,8,True,Loss,1,0,0,0,0,0,0
93,2024-03-05,T20,Bouncy,2,Ultra Insane,1,Leo,Ragz,245,10.0,6,False,Loss,0,0,1,0,0,0,0
93,2024-03-05,T20,Bouncy,2,Ultra Insane,2,Ragz,Leo,29,15.0,2,True,Win,0,0,0,0,0,0,0
94,2024-10-19,T20,Normal,3,Insane,1,Vikram,Sara,40,5.0,6,False,Win,0,0,0,0,0,0,0
94,2024-10-19,T20,Normal,3,Insane,2,Sara,Vikram,172,20.0,4,True,Loss,0,1,0,0,0,0,0
95,2024-08-13,T20,Dry,4,Medium,1,Karthik,Sara,153,5.0,1,False,Loss,0,1,0,0,0,0,0
95,2024-08-13,T20,Dry,4,Medium,2,Sara,Karthik,51,5.0,1,True,Win,1,0,0,0,0,0,0
96,2024-01-09,ODI,Bouncy,5,Hard,1,Ragz,Joe,152,40.0,1,False,Loss,0,1,0,0,0,0,0
96,2024-01-09,ODI,Bouncy,5,Hard,2,Joe,Ragz,194,30.0,3,True,Win,0,1,0,0,0,0,0
97,2024-04-29,Test,Bouncy,6,Ultra Insane,1,Rohan,Zafi,168,30.0,2,False,Win,0,1,0,0,0,0,0
97,2024-04-29,Test,Bouncy,6,Ultra Insane,2,Zafi,Rohan,94,50.0,2,True,Loss,1,0,0,0,0,0,0
98,2024-08-13,ODI,Green,7,Hard,1,Leo,Nikita,2,50.0,3,False,Loss,0,0,0,0,0,0,0
98,2024-08-13,ODI,Green,7,Hard,2,Nikita,Leo,256,30.0,2,True,Win,0,0,1,0,0,0,0
99,2024-02-06,ODI,Green,8,Hard,1,Ragz,Sara,79,50.0,4,False,Loss,1,0,0,0,0,0,0
99,2024-02-06,ODI,Green,8,Hard,2,Sara,Ragz,64,20.0,8,True,Win,1,0,0,0,0,0,0
100,2024-07-09,T20,Normal,9,Medium,1,Nikita,Karthik,72,15.0,2,False,Loss,1,0,0,0,0,0,0
100,2024-07-09,T20,Normal,9,Medium,2,Karthik,Nikita,51,15.0,0,True,Win,1,0,0,0,0,0,0
101,2024-06-08,Test,Green,10,Medium,1,Vikram,Karthik,54,50.0,0,False,Win,1,0,0,0,0,0,0
101,2024-06-08,Test,Green,10,Medium,2,Karthik,Vikram,392,40.0,2,True,Loss,0,0,0,1,0,0,0
102,2024-08-11,Test,Green,11,Hard,1,Sid,Sara,82,30.0,2,False,Loss,1,0,0,0,0,0,0
102,2024-08-11,Test,Green,11,Hard,2,Sara,Sid,237,60.0,1,True,Win,0,0,1,0,0,0,0
103,2024-03-14,T20,Dry,12,Ultra Insane,1,Rohan,Vikram,31,5.0,4,False,Loss,0,0,0,0,0,0,0
103,2024-03-14,T20,Dry,12,Ultra Insane,2,Vikram,Rohan,8,10.0,3,True,Win,0,0,0,0,0,0,0
104,2024-07-11,ODI,Green,13,Hard,1,Leo,Sid,66,30.0,5,False,Loss,1,0,0,0,0,0,0
104,2024-07-11,ODI,Green,13,Hard,2,Sid,Leo,38,40.0,0,True,Win,0,0,0,0,0,0,0
105,2024-02-02,ODI,Dry,1,Hard,1,Sara,Arjun,96,30.0,1,False,Win,1,0,0,0,0,0,0
105,2024-02-02,ODI,Dry,1,Hard,2,Arjun,Sara,155,30.0,3,True,Loss,0,1,0,0,0,0,0
106,2024-02-08,T20,Green,2,Hard,1,Arjun,Sid,145,15.0,1,False,Loss,0,1,0,0,0,0,0
106,2024-02-08,T20,Green,2,Hard,2,Sid,Arjun,28,10.0,1,True,Win,0,0,0,0,0,0,0
107,2024-07-13,Test,Dry,3,Hard,1,Arjun,Anya,165,30.0,5,False,Win,0,1,0,0,0,0,0
107,2024-07-13,Test,Dry,3,Hard,2,Anya,Arjun,27,40.0,1,True,Loss,0,0,0,0,0,0,0
108,2024-11-15,ODI,Normal,4,Hard,1,Ragz,Karthik,34,20.0,3,False,Loss,0,0,0,0,0,0,0
108,2024-11-15,ODI,Normal,4,Hard,2,Karthik,Ragz,194,20.0,0,True,Win,0,1,0,0,0,0,0
109,2024-01-08,ODI,Bouncy,5,Hard,1,Zafi,Nikita,125,40.0,0,False,Win,0,1,0,0,0,0,0
109,2024-01-08,ODI,Bouncy,5,Hard,2,Nikita,Zafi,54,20.0,1,True,Loss,1,0,0,0,0,0,0
110,2024-11-11,ODI,Dry,6,Ultra Insane,1,Nikita,Joe,435,30.0,2,False,Loss,0,0,0,0,1,0,0
110,2024-11-11,ODI,Dry,6,Ultra Insane,2,Joe,Nikita,70,50.0,3,True,Win,1,0,0,0,0,0,0
111,2024-08-01,Test,Green,7,Ultra Insane,1,Rohan,Joe,131,40.0,3,False,Win,0,1,0,0,0,0,0
